Date,Close
1/30/2019,34.08
1/31/2019,33.65
2/1/2019,34.31
2/4/2019,35.05
2/5/2019,35.33
2/6/2019,35.48
2/7/2019,35.25
2/8/2019,35.26
2/11/2019,35.59
2/12/2019,36.19
2/13/2019,36.26
2/14/2019,36.32
2/15/2019,36.58
2/19/2019,37.05
2/20/2019,36.74
2/21/2019,36.98
2/22/2019,37.49
2/25/2019,37.34
2/26/2019,37.38
2/27/2019,37.58
2/28/2019,37.15
3/1/2019,37.35
3/4/2019,37.25
3/5/2019,37.12
3/6/2019,36.81
3/7/2019,36.21
3/8/2019,35.89
3/11/2019,36.25
3/12/2019,36.28
3/13/2019,36.46
3/14/2019,36.35
3/15/2019,36.3
3/18/2019,36.27
3/19/2019,36.87
3/20/2019,36.7
3/21/2019,37.2
3/22/2019,36.65
3/25/2019,36.72
3/26/2019,36.9
3/27/2019,36.83
3/28/2019,36.78
3/29/2019,37.14
4/1/2019,37.68
4/2/2019,37.92
4/3/2019,37.99
4/4/2019,38.05
4/5/2019,37.84
4/8/2019,37.81
4/9/2019,37.75
4/10/2019,37.72
4/11/2019,36.32
4/12/2019,36.17
4/15/2019,36.23
4/16/2019,36.39
4/17/2019,35.97
4/18/2019,35.98
4/22/2019,36.15
4/23/2019,36.67
4/24/2019,38.52
4/25/2019,38.11
4/26/2019,38.36
4/29/2019,38.25
4/30/2019,38.75
